"English","Deutsch";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1. Physische Umwelt spielt eine entscheidende Rolle im Überleben. Temperatur, Wettersysteme, Gelände und indigene Lebensformen haben alle einen direkten Einfluss auf die Gesundheit und Nachhaltigkeit. Bekanntheit dieser Elemente und der Effekt, den sie haben, ist von größter Bedeutung.

1-2. Präventive Maßnahmen, frühzeitige Anerkennung und schnelle Behandlungshilfe minimieren die Wahrscheinlichkeit einer verringerten Funktionalität und des möglichen Todes. Kurz gesagt, Bewusstsein ist der Schlüssel.
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3. GLIESE 581 ist komplex und unversöhnlich von Fehlern. Selbst bei idealen Bedingungen können Fälle von Anzugsanfällen, Dehydratisierung und indigenen Kreaturangriffe auftreten. Jede Instanz erfordert sofortige Aufmerksamkeit und Reaktion, um ungünstige und möglicherweise tödliche Ergebnisse zu vermeiden. Es ist ratsam, diese nicht zu ignorieren, da sie in allgemeiner Gesundheit, Anzug und Überleben zunehmend gefährlicher werden können.
";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4. Die Ausrüstung hat einen Verschlechterungsfaktor, der je nach Art und Zweck variiert. Der Zeitverfall und die Verwendung spielt eine Rolle bei der Verschlechterung sowie Geländeelemente. Wenn Skill-Punkte erfasst werden, kann die Ausrüstung erheblicher werden, was die Lebenserwartung jedes Artikels erhöht. Keines der Geräte hat jedoch eine unendliche Lebensdauer. Die Aufrechterhaltung der ordnungsgemäßen Reparatur und der Unterhalt von Geräten lässt den Fortschritt und die Wahrscheinlichkeit des Überlebens helfen.
";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5. Das Gelände auf extra Solarplanteten kann troffig sein und müssen mit Sorgfalt durchquert werden. Jeder Fehltritt kann dazu führen, dass Sie Ihren EVA-Anzug beschädigen und zu einem Anzugsverletzung führen, der katastrophal sein kann. Es ist unangemessen, mit äußerster Vorsicht zu erkunden.

1-6. Steigung. Wenn Sie versuchen, einen Steigung zu erklimmen, sollten Sie unbedingt Ihren Neigungswarnindikator ansehen. Für Pisten, die größer als 30 Grad sind, wirft entweder in Neigung oder einen Rückgang eine Gefahr für Ihre Durchquerung auf. Das Versuch, auf diesem unebenen Gelände zu springen oder zu laufen, wird nicht beraten.

Hocke kann bei Bedarf extreme Pisten ausgeübt werden.";
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7. Jeder Planet und der Mond verfügt über ein einzigartiges atmophherisches Make-up und wird Ihre Erkundungsfähigkeiten stets ändern.

1-8. Atmopherische Temperatur. Die Temperatur der Luft und der Oberfläche der Welt ist ein direktes Ergebnis seiner atmopherischen Dichte und der Nähe zum Stern. Dickere ATROPSHERRES enthält mehr Treibhausgaseffekte und erzeugen einen stabileren Temperaturbereich (obwohl diese Temperatur noch extrem kalt oder heiß ist). Verdünnere ATROPSHERRES zeigen einen höheren Temperaturbereich, wenn die Welt nicht an dem Stern arrangiert ist, oder wenn ja, werden Sie auf Ihrer geografischen Lage auf der Welt lten.

1-9. Wetterlagen. Es ist nicht gesagt, was Sie in Bezug auf das Wetter entdecken können. Ihr EVA-Anzug wurde entwickelt, um bekannte Wettersituationen zu behandeln, kann jedoch in extremer Situation beschädigt werden.

Wenn Sie in einem Staubsturm erwischt werden, achten Sie darauf, dass der Sturm auf die Richtung achten kann. Suchen Sie jedoch Schutz, jedoch können Sie Trümmer aus dem Sturm vermeiden. Die Hocke kann die Chancen von IMACT um bis zu 60% einschränken.";
"1. Physical Environment","1. Physische Umgebung";
"Suit Repair","Anzugreparatur";
"Suit Maintenance","Anzug Wartung";
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1. Der EVA-Anzug, der für die Osiris-Mission entworfen wurde, ist mit hochmodernen Sensoren ausgestattet. Diese Sensoren sind wiederum detaillierte und aktuelle Statusberichte über die Lebensfähigkeit und Integrität des EVA-Anzugs. Überwachung dieser Messwerte im HUD sind ein wesentlicher Bestandteil der Überlebensfähigkeit. Der Sensors-Monitor: Sauerstoffspiegel, Temperatur, Hydratations- / Ernährungsniveaus sowie Gesundheit und Gesundheit.

2-2. Sauerstoffspiegel: Die Überwachung des Sauerstoffverbrauchs ist integriert. Ohne Sauerstoff gibt es kein Atmen. Achten Sie darauf, dass das Laufen und andere Besteuerungsaktivitäten mehr Sauerstoff verbrauchen. Sauerstoff wird auf der Basis von Spuren von O2 in der Atmosphäre auffüllen.

2-3. Temperatur: Die Aufrechterhaltung einer realisierbaren Anklägertemperatur ist von größter Bedeutung. Einige Kliminen innerhalb des GLIESE 581-Systems werden Umgebungen aufnehmen, die kalt, durchdringlich heiß und zwischen den Variablen zusammenbrachen. Wenn der Anzug zu kalt wird, suchen Sie nach Wegen, um die Temperatur zu erhöhen, da die Hypothermie erfahren kann. Wenn der Anzug zu heiß wird, suchen Sie nach Wegen, um die Temperatur zu verringern, da er zum Tod führen kann.

2-4. Hydratation / Ernährung: Die Hydration ist der Außenring, während die Ernährung der Innenring ist. Hunger und Durst, wenn nicht behoben, können Gesundheit und Leistung rückläufig sein. Ihre Handlungen wie Laufen und Springen wirken sich auf Ihren Durst und Ihren Hunger aus.

2-6. Gesundheit / Anzug Integrität: Gesundheit ist der Außenring, während der Anzug integrität der innere Ring ist. In Fällen oder schweren Verletzungen oder Anzugsverletzungen sinkt die Sauerstoffspiegel. Fixieren von Anzugsverletzungen oder schweren Verletzungen, Ausstattung und Verwendung von Bandagen, entweder gefunden oder gefertigt.";
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7. Wenn der EVA-Anzug während der Erkundung des GLIESE 581-Systems beschädigt oder verletzt wird, stellen Sie sicher, dass Sie das Patch-Band ausrüsten und verwenden, um den Verstoß anzugehen. Dann rüstet und verwenden Sie Bandagen, um die Integrität der Anzug zu stabilisieren. Das Versagen kann dazu führen, dass er zum Erstickung oder zum Tod führen kann.
";
"*Use patch tape to repair your EVA suit.","* Verwenden Sie das Patch-Band, um Ihren EVA-Anzug zu reparieren.";
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8. Um sicherzustellen, dass eine optimale EVA-Leistung erreicht wird, ist bei Bedarf die Anpassungswartung erforderlich. Patch-Band und Bandagen sind mit Anzugsverletzungen erforderlich. Wenn Sie den Anzug nicht aufrechterhalten können, kann er zum Erstickung oder zum Tod führen.

Stellen Sie sicher, dass Sie die Umwelt kümmern. Hüten Sie sich vor scharfen Gegenständen auf, da diese Ihren Anzug durchstechen können und einen Anzugsverletzung verursachen können. Nehmen Sie Vorsicht beim Klettern von steilen Hängen, sorgfältig sorgfältig hockend.";
"*Use patch tape and bandages for EVA suit repair and maintenance.","* Verwenden Sie Patch-Band und Bandagen für EVA-Anzugreparatur und -wartung.";
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","* Halten Sie Ihr Auge auf O2-Messungen. Stellen Sie sicher, dass Ihr O2-Wäscher in Atmosphären mit Gasen, die Sauerstoff enthalten, aufzufüllen. HINWEIS - O2 füllt sich nicht im Raum oder in sehr dünnen Atmosphären auf.";
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","* Null Sauerstoff verursacht Erstickung. Es ist ratsam, sich aufzuhören, sich zu bewegen, bis Ihr O2-Scrubber mit dem Auffüllen von O2 in Ihrem EVA-Anzug beginnen kann.";
"2. Osiris Mission EVA Suit","2. Osiris Mission Eva Anzug";
"Physical Conditioning","Physische Konditionierung";
"Hydration","Hydratation";
"Food Preparation","Essenszubereitung";
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1. Die Lebensqualität ist weitgehend von Ernährung, Hydratisierung und allgemeiner Gesundheit abhängig. Im Laufe der Zeit kann sich der körperliche Zustand verschlechtern, die Geschwindigkeit und das Überleben beeinflussen. Hunger und Durst, wenn nicht behoben, können Gesundheit und Leistung rückläufig sein. Effekt haben ebenfalls Klimatisierungsbedingungen wie Wärme und Kälte. Es ist zwingend notwendig, diese mit den bereitgestellten Anzugswerten zu überwachen.

3-2. Wenn der körperliche Zustand abnimmt und die Gesundheit beeinträchtigt ist, ist die Heilung mit bestimmten Arten von Lebensmitteln und Bandagen möglich. Heilung ist entscheidend, um das Leben aufrechtzuerhalten.
";
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3. Verlust von Körperwasser oder Dehydratisierung spielt eine wichtige Rolle in Gesundheit und Überleben. Je nach Anstrengungsgrad schwanken die Hydratationsanforderungen. Stellen Sie sicher, dass Sie die Hydratationsstufe überprüfen und Wasser verbrauchen, wenn der Anzug (in der unteren linken Ecke befindet), weist darauf hin, dass dies die Notwendigkeit bedeutet.
";
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4. Die schlechte Ernährung trägt zur Verschlechterung der Lebensqualität und der Überlebensglanz bei. Die kalorische Einnahme ist notwendig sowie auf die Typen und Kalorienquellen. Fast alles ist essbar, aber nicht jede Art von Essen wird heilen. Einige Ernährungsquellen erfüllen nur die Notwendigkeit von Kalorien. Denken Sie daran, den Hunger in den Anzugsablesungen zu überwachen (in der unteren linken Ecke in der unteren Seite) zu überwachen und Kalorien nach Bedarf aufzufüllen.
";
"Hypothermia","Unterkühlung";
"Dehydration","Dehydratation.";
"Minor Injuries","Leichte Verletzungen";
"Severe Injuries","Schwere Verletzungen";
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1. Kaltverletzungen, sowohl einfrieren als auch nicht einfrieren, sind eine ernsthafte Bedrohung. Hypothermie ist ein potenziell gefährlicher Rückgang der Körpertemperatur, der in der Regel durch längere Einwirkung von kalten Temperaturen verursacht wird. Das Bewusstsein der Außentemperatur und der Titeltemperatur ist von entscheidender Bedeutung. Kaltwetterverletzung Prävention und rechtzeitige Schutzkonstruktion sind ebenfalls kritisch und kann helfen, schwächende Verletzungen zu vermeiden. Wenn die Temperaturen fallen, sollten Sie sicherstellen, dass Methoden zum Erstellen der inneren Wärme verwendet werden.";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2. Dehydratisierung erfolgt, wenn Ihr Körper nicht so viel Wasser hat, wie es braucht. Ohne genug kann Ihr Körper nicht ordnungsgemäß funktionieren. Sie können leichte, mäßige oder schwere Dehydratisierung haben, je nachdem, wie viel Flüssigkeit von Ihrem Körper fehlt. Vermeiden Sie es, dehydratisiert zu werden, indem Sie den Anzug lesen, der auf dem Hydratationsniveau lese (in der unteren linken Ecke befindet), um die Flüssigkeiten regelmäßig aufzufüllen und zu verbrauchen. Wenn die Temperaturen aufgrund von Wetterbedingungen steigen, kann es erforderlich sein, die Temperatur der internen Anziehung zu verringern, um Dehydratisierung und sogar Todesfälle zu vermeiden.

Lebensmittel können eine Hydratationsquelle sein, wenn eine Chem-Station, um Wasser zu erstellen, nicht verfügbar ist.";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3. Es ist sehr wahrscheinlich, dass geringfügige Verletzungen beim Kampf gegen indigene Kreaturen, während der Missionen, oder sogar regelmäßige Aufgaben auftreten. Anzugsverletzungen sind die häufigste Art von geringfügigen Verletzungen. Wenn ein Anzugsverletzungen auftritt, verwenden Sie den Patchtyp, sobald möglich, um zu reparieren.
";
"*Bandages can heal minor wounds.","* Bandagen können geringfügige Wunden heilen.";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","* Wenn auf einem Planeten mit Laubarten, versuchen Sie, Rohbandagen zu erstellen, wenn sie aus handgefertigten Verbandreserven sind.";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4. In der Veranstaltung erfolgt eine schwere Verletzung, um sofort zu findern oder zusammenzuarbeiten und sie zu heilen. Wenn dies nicht zweckmäßig geschehen ist, verschlechtert sich die Gesundheit schnell und der Tod kann kurz danach folgen.
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","* Soweit möglich, erzeugen Sie große Mengen an Rohbandagen, während Sie Medkits für nur schwierige Situationen reservieren.";
"*Medkits can save your life when experiencing severe wounds.","* Medkits können Ihr Leben sparen, wenn er schwere Wunden erleben.";
"Navigation","Navigation";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1. Das Navigieren durch das GLIESE 581-System kann sowohl faszinierend als auch erschreckend sein. Die grundlegende Navigation sollte jedoch nicht verwirrend sein.

5-2. Der für die Osiris-Mission bereitgestellte Locator ist ein äußerst hilfreiches Navigationswerkzeug. Das Ausstattung des Locators zeigt die Topographie des Geländes, Namen der entdeckten Bereichen, Ressourcenorte, Ressourcenorte (wie durch Symbole angegeben) sowie Längengrad und Breitengrad. Metallic-Objekte werden auf Ihrem Locator sowie Ihre Strukturen angezeigt.

5-3. Längengrad: Längengrad ist die designierte Koordinate, die die Position Ost-West-Position eines Punktes auf dem Gelände des Planeten identifiziert.

5-4. Breitengrad: Breitengrad ist die designierte Koordinate, die die Nord-Süd-Position eines Punktes auf dem Gelände des Planeten identifiziert.

5-5. Kompass: Ihr Kompass wird in der oberen Mitte Ihres Displays angezeigt und zeigt Ihre Richtung mit allen primären Strukturen an, die Sie besitzen.
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","* Locator gibt Ihnen Positionskoordinaten auf Ihrem aktuellen Planeten und können dazu beitragen, natürliche Ressourcen zu finden.";
"DATA NOT AVAILABLE
","KEINE DATEN VERFÜGBAR
";
"Tools","Werkzeuge";
"Artillery","Artillerie";
"Combat Tactics","Kampftaktik.";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1. Bei der Erkundung und des Handwerks sind verschiedene Werkzeuge nützlich, um verschiedene Aufgaben zu erreichen. Werkzeuge haben keine unendliche Verwendung und trägt sich im Laufe der Zeit. Es ist zwingend erforderlich, Werkzeuge bei Bedarf zu reparieren und / oder als Bedarf neue zu handhaben. Die Zerfallrate variiert von dem Werkzeug bis zum Werkzeug. Einige Tools erfordern Rezepte und spezifische Ressourcen, die nur erreichbar sind, um sie zubereiten oder zu ernten, um gefertigt zu werden. Die meisten Werkzeuge sind nur für den Bergbau nützlich, obwohl ein Paar vorhanden ist, das im Kampf verwendet werden kann. Diese werden als Hybridwerkzeuge bezeichnet.

6-2. Beachten Sie, dass nicht alle Werkzeuge von Anfang an gerecht werden können. Einige Werkzeuge werden nur als Fortschritt verfügbar und Fertigkeitspunkte werden erworben.";
"*Chisel can be used to break down minerals.","* Meißel kann verwendet werden, um Mineralien abzubauen.";
"*Shovel can gather loose materials like sand.","* Schaufel kann lose Materialien wie Sand sammeln.";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3. Artillerie kann zum Schutz vor indigenen Kreaturen und menschlichen Bedrohungen verwendet werden. Es gibt verschiedene Arten von Waffen, die für den Einsatz zur Verfügung stehen, nicht alle verfügbar sind sofort verfügbar. Welche Waffen sind zunächst angeführt, hängt von der gewählten Klasse ab: Marine, Wissenschaftler, Ranger oder Ingenieur. Es gibt zwei Hauptkategorien von Artillerie, Nahkampf und Rangierer. Jede Waffe hält sich je nach Munitions- und Waffentyp unterschiedliche Schadensgrade an.";
"*For ranged weapons be mindful of ammunition reserves.","* Für Rangierte Waffen seien munitionsreserviert.";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","* Nahkampfwaffen brauchen viel Bestrafung und müssen häufig repariert werden.";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4. Die Strategie ist eine Schlüsselkomponente, um Gliese 581 zu überleben, und alles, was es umgeht. In jeder Zeit wachsam verbleibend und den Horizont im Auge behalten, ist von dire Bedeutung. Bedrohungen zur Sicherheit kommen nicht nur in Form von Umweltveranstaltungen, sondern auch indigene Kreaturen und sogar andere Menschen. Sei vorbereitet. Behalten Sie Waffen in der Bereitschaft und voll ausgestattet mit Munition. In einigen Fällen fliegt die beste Taktik tatsächlich so schnell wie möglich. Die Taktik ändert sich in einem Fall mit Fall und erfordern ein kritisches Denken sowie schnelle Reflexe.";
"Comms Feed","Comms Feed.";
"Locating Personnel","Personal lokalisieren";
"Colony Development","Kolonieentwicklung.";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1. Die ordnungsgemäße und sinnvolle Kommunikation ist äußerst wertvoll und ein wichtiges Werkzeug, wenn das Gliese 581-System erkundet ist. Hier ist der Kommunikationsfutter ein hilfreiches Werkzeug. Um auf den Kommunikationsvorschubzugriff zuzugreifen, drücken Sie ENTER und dann mit einem der Chat-Befehle nach Bedarf.

Chat-Befehle sind wie folgt:
[Registerkarte] Zyklus verfügbare Kanäle
[/ g] Global Channel
[/ l] lokaler Kanal
[/ c] Colony Channel
[/ p] Parteikanal
[/ W] Flüsterkanal
[/ R] Antwort auf vorheriges Flüstern
[/ ix] ignorieren Sie den Kanal x
[/ UX] Unectore-Kanal x
[/ Ping] Toggle Audio Ping
[/ ompa helfen] o.m.p.a. Befehle
";
"DATA NOT AVAILABLE 
","KEINE DATEN VERFÜGBAR
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2. Das Finden eines anderen Personals innerhalb des GLIESE 581-Systems kann die Überlebensschance erheblich erhöhen. Deshalb ist es der Schlüssel, um ständig darauf zu sein, dass andere das ausländische Gelände streiken.

7-3. Eine Möglichkeit, Personal zu lokalisieren, ist durch den Kommunikationsfutter in der oberen linken Ecke Ihres Huds. Um auf dieses hilfreiche Tool zuzugreifen, drücken Sie ENTER und suchen Sie den entsprechenden Kanal, in dem Sie chatten möchten. Sobald die Kommunikation mit anderen Personen erreicht wurde, teilen Sie die aktuellen Koordinaten frei und warten Sie, bis sie an der Stelle ankommen.

7-4. Eine andere Möglichkeit, Personal zu lokalisieren, ist die Verwendung der Fackelpistole. Für diese Zeiten, in denen die Kommunikation nach unten ist oder nicht funktioniert, rauten Sie einfach die Flare-Waffe aus, zeigen Sie es in Richtung Himmel und Feuer. Dies wird jedes andere Personal in der Nähe aufmerksam machen.
";
"*Flares can be used to locate personnel.","* Fackeln können verwendet werden, um Personal zu lokalisieren.";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5. U.n.e. Unternehmen können sich mit anderen Personal in Kontakt kommen. In diesen Situationen kann dieses Personal mit einer Partei oder einer Kolonie eingerichtet werden.

7-6. Einrichten einer Partei: Für das Personal, das eine Partei erstellt, müssen sie auf die andere operative Wirkung gehen, sie ansehen, und drücken Sie dann [F], um eingeladen zu werden. Das Personal, das sich der Party anschließt, muss dann aussehen und den Inventar und dann in das Menü auf [Akzeptieren] klicken.
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5. U.n.e. Unternehmen können sich mit anderen Personal in Kontakt kommen. In diesen Situationen kann dieses Personal mit einer Partei oder einer Kolonie eingerichtet werden.

7-6. Einrichten einer Partei: Für das Personal, das eine Partei erstellt, müssen sie auf die andere operative Wirkung gehen, sie ansehen, und drücken Sie dann [F], um eingeladen zu werden. Das Personal, das sich der Party anschließt, muss dann aussehen und den Inventar und dann in das Menü auf [Akzeptieren] klicken.

7-7. Einrichten einer Kolonie: Eine Kolonie ist ein Territorium an einem bestimmten Ort auf einem Planeten oder Mond, der von mindestens einem Personal behauptet und kontrolliert wird. Personal kann ein Territorium automatisch beanspruchen, wenn Sie eine Struktur auf nicht beanspruchter Boden legen. Diese Kolonie kann von einem anderen Personal verbunden werden, wenn es offiziell erstellt wurde. Die Erstellung einer Kolonie kann mit den folgenden Schritten erfolgen:

Klicken Sie auf 'Colony erstellen'.
Fügen Sie andere Personal mit dem Multi-Tool hinzu. Bitte beachten Sie, dass das Personal zur gleichen Fraktion gehören muss, um an einer Kolonie teilzunehmen.

Durch das Hinzufügen von anderen Mitarbeitern zu einer bestehenden Kolonie werden ihnen automatisch Zugriff auf alles, was er gebaut oder gefertigt ist, Zugang zugenommen, nachdem sie sich angeschlossen haben. Um ihnen Zugriff auf zuvor gebaute / gefertigte Objekte zu geben, muss der Ersteller der Kolonie den Zugriff manuell mit dem Multi-Tool auf jedem Objekt ergeben (öffentlich zu Kolonie). ";"
#VALUE!
"Access to utilities","Zugang zu Dienstprogrammen";
